"Localidade";"Ano";"Frota de Veículos - Total (número)";"População - Projeção  - Masculina - Total -UFRN (habitantes)";"Frota de Veículos - Automóvel (número)";"População - Projeção  - Feminina - Total - UFRN (habitantes)";"Frota de Veículos - Motocicleta (número)";"Frota de Veículos - Ônibus (número)"
"Abadia de Goiás";"2014";"3.282";"3785";"1.578";"3948";"800";"8"
"Abadia de Goiás";"2015";" 3.634 ";"3876";" 1.748 ";"4047";" 859 ";" 8 "
"Abadia de Goiás";"2016";" 3.876 ";"3967";" 1.868 ";"4147";" 914 ";" 7 "
"Abadia de Goiás";"2017";" 4.155 ";"4058";" 2.008 ";"4246";" 976 ";" 11 "
"Abadia de Goiás";"2018";"4.426";"4150";"2.150";"4346";"1.019";"13"
"Abadia de Goiás";"2019";"4.746";"4241";"2.307";"4445";"1.097";"14"
"Abadia de Goiás";"2020";"5.083";"4332";"2.453";"4544";"1.152";"14"
"Abadia de Goiás";"2021";"5.519";"4423";"2.621";"4645";"1.259";"18"
"Abadia de Goiás";"2022";"6.012";"4513";"2.798";"4744";"1.364";"35"
"Abadia de Goiás";"2023";"6.561";"4602";"3.005";"4843";"1.502";"36"
"Abadia de Goiás";"2024";"7.346";"4690";"3.315";"4939";"1.703";"38"
"Abadiânia";"2014";"4.744";"9131";"2.289";"8713";"1.080";"28"
"Abadiânia";"2015";" 5.013 ";"9363";" 2.440 ";"8949";" 1.114 ";" 31 "
"Abadiânia";"2016";" 5.223 ";"9599";" 2.554 ";"9189";" 1.134 ";" 30 "
"Abadiânia";"2017";" 5.451 ";"9835";" 2.671 ";"9429";" 1.152 ";" 34 "
"Abadiânia";"2018";"5.761";"10074";"2.838";"9672";"1.198";"36"
"Abadiânia";"2019";"5.932";"10312";"2.945";"9914";"1.204";"36"
"Abadiânia";"2020";"6.261";"10548";"3.101";"10156";"1.239";"37"
"Abadiânia";"2021";"6.591";"10789";"3.252";"10401";"1.294";"38"
"Abadiânia";"2022";"6.952";"11028";"3.424";"10646";"1.341";"41"
"Abadiânia";"2023";"7.384";"11266";"3.612";"10888";"1.392";"46"
"Abadiânia";"2024";"7.936";"11501";"3.855";"11129";"1.483";"51"
"Acreúna";"2014";"9.264";"10826";"3.781";"10345";"1.990";"109"
"Acreúna";"2015";" 9.954 ";"10881";" 4.145 ";"10409";" 2.090 ";" 127 "
"Acreúna";"2016";" 10.488 ";"10928";" 4.421 ";"10462";" 2.163 ";" 122 "
"Acreúna";"2017";" 11.006 ";"10967";" 4.688 ";"10509";" 2.218 ";" 126 "
"Acreúna";"2018";"11.493";"11003";"4.873";"10555";"2.276";"125"
"Acreúna";"2019";"12.005";"11033";"5.118";"10595";"2.353";"132"
"Acreúna";"2020";"12.679";"11055";"5.443";"10631";"2.418";"131"
"Acreúna";"2021";"13.376";"11073";"5.726";"10658";"2.457";"136"
"Acreúna";"2022";"14.101";"11083";"5.902";"10679";"2.561";"144"
"Acreúna";"2023";"14.963";"11087";"6.145";"10696";"2.676";"163"
"Acreúna";"2024";"15.578";"11084";"6.342";"10706";"2.743";"169"
"Adelândia";"2014";"1.023";"1283";"446";"1238";"298";"5"
"Adelândia";"2015";" 1.122 ";"1281";" 507 ";"1243";" 313 ";" 6 "
"Adelândia";"2016";" 1.162 ";"1276";" 535 ";"1244";" 316 ";" 6 "
"Adelândia";"2017";" 1.230 ";"1270";" 555 ";"1244";" 329 ";" 6 "
"Adelândia";"2018";"1.279";"1265";"582";"1246";"330";"6"
"Adelândia";"2019";"1.335";"1259";"606";"1247";"338";"7"
"Adelândia";"2020";"1.385";"1254";"621";"1249";"349";"8"
"Adelândia";"2021";"1.422";"1246";"634";"1247";"357";"8"
"Adelândia";"2022";"1.453";"1238";"661";"1245";"352";"8"
"Adelândia";"2023";"1.445";"1229";"661";"1243";"346";"8"
"Adelândia";"2024";"1.516";"1221";"685";"1241";"355";"8"
"Água Fria de Goiás";"2014";"939";"2877";"483";"2509";"196";"19"
"Água Fria de Goiás";"2015";" 1.070 ";"2900";" 558 ";"2538";" 217 ";" 21 "
"Água Fria de Goiás";"2016";" 1.107 ";"2920";" 581 ";"2562";" 220 ";" 21 "
"Água Fria de Goiás";"2017";" 1.133 ";"2938";" 588 ";"2585";" 224 ";" 21 "
"Água Fria de Goiás";"2018";"1.200";"2956";"616";"2609";"236";"24"
"Água Fria de Goiás";"2019";"1.209";"2973";"612";"2632";"240";"24"
"Água Fria de Goiás";"2020";"1.259";"2988";"631";"2655";"237";"26"
"Água Fria de Goiás";"2021";"1.309";"3002";"657";"2675";"246";"26"
"Água Fria de Goiás";"2022";"1.344";"3015";"658";"2693";"248";"27"
"Água Fria de Goiás";"2023";"1.397";"3025";"669";"2711";"265";"28"
"Água Fria de Goiás";"2024";"1.450";"3034";"694";"2729";"270";"29"
"Água Limpa";"2014";"624";"1042";"331";"968";"135";"2"
"Água Limpa";"2015";" 727 ";"1038";" 391 ";"968";" 151 ";" 2 "
"Água Limpa";"2016";" 770 ";"1029";" 411 ";"962";" 157 ";" 2 "
"Água Limpa";"2017";" 809 ";"1020";" 425 ";"956";" 162 ";" 2 "
"Água Limpa";"2018";"841";"1012";"448";"952";"165";"2"
"Água Limpa";"2019";"847";"1005";"452";"948";"168";"2"
"Água Limpa";"2020";"893";"999";"487";"946";"171";"3"
"Água Limpa";"2021";"922";"987";"519";"938";"164";"3"
"Água Limpa";"2022";"946";"976";"524";"930";"171";"3"
"Água Limpa";"2023";"997";"966";"540";"924";"182";"3"
"Água Limpa";"2024";"1.065";"956";"566";"918";"190";"3"
"Águas Lindas de Goiás";"2014";"27.406";"94207";"12.720";"94366";"4.737";"638"
"Águas Lindas de Goiás";"2015";" 29.900 ";"97736";" 13.942 ";"98018";" 5.022 ";" 705 "
"Águas Lindas de Goiás";"2016";" 31.092 ";"101341";" 14.343 ";"101689";" 5.201 ";" 703 "
"Águas Lindas de Goiás";"2017";" 32.101 ";"105016";" 14.724 ";"105444";" 5.375 ";" 692 "
"Águas Lindas de Goiás";"2018";"33.150";"108828";"15.055";"109351";"5.526";"751"
"Águas Lindas de Goiás";"2019";"33.996";"112708";"15.263";"113345";"5.726";"746"
"Águas Lindas de Goiás";"2020";"35.944";"116653";"15.858";"117422";"6.065";"751"
"Águas Lindas de Goiás";"2021";"38.366";"120614";"16.705";"121454";"6.482";"735"
"Águas Lindas de Goiás";"2022";"40.358";"124650";"17.138";"125575";"6.992";"736"
"Águas Lindas de Goiás";"2023";"42.983";"128748";"17.759";"129776";"7.683";"751"
"Águas Lindas de Goiás";"2024";"45.863";"132900";"18.500";"134050";"8.447";"774"
"Alexânia";"2014";"9.325";"12863";"5.077";"12637";"1.659";"40"
"Alexânia";"2015";" 10.563 ";"13019";" 5.697 ";"12791";" 1.864 ";" 48 "
"Alexânia";"2016";" 11.307 ";"13165";" 6.056 ";"12936";" 1.977 ";" 52 "
"Alexânia";"2017";" 11.940 ";"13304";" 6.383 ";"13074";" 2.064 ";" 56 "
"Alexânia";"2018";"12.530";"13443";"6.652";"13211";"2.187";"54"
"Alexânia";"2019";"13.148";"13577";"6.954";"13343";"2.307";"55"
"Alexânia";"2020";"13.802";"13704";"7.299";"13467";"2.390";"53"
"Alexânia";"2021";"14.573";"13826";"7.658";"13589";"2.489";"57"
"Alexânia";"2022";"15.092";"13940";"7.873";"13704";"2.568";"69"
"Alexânia";"2023";"15.563";"14049";"8.010";"13812";"2.686";"67"
"Alexânia";"2024";"16.210";"14151";"8.264";"13913";"2.792";"70"
"Aloândia";"2014";"954";"1049";"383";"1010";"343";"3"
"Aloândia";"2015";" 1.007 ";"1046";" 415 ";"1010";" 348 ";" 3 "
"Aloândia";"2016";" 1.046 ";"1039";" 439 ";"1004";" 352 ";" 4 "
"Aloândia";"2017";" 1.062 ";"1033";" 451 ";"999";" 349 ";" 4 "
"Aloândia";"2018";"1.102";"1027";"471";"995";"352";"5"
"Aloândia";"2019";"1.136";"1020";"497";"991";"356";"5"
"Aloândia";"2020";"1.191";"1014";"511";"989";"364";"6"
"Aloândia";"2021";"1.244";"1005";"535";"981";"363";"6"
"Aloândia";"2022";"1.327";"997";"568";"974";"375";"6"
"Aloândia";"2023";"1.383";"988";"579";"968";"389";"6"
"Aloândia";"2024";"1.453";"980";"607";"962";"401";"6"
"Alto Horizonte";"2014";"2.032";"2855";"836";"2640";"507";"23"
"Alto Horizonte";"2015";" 2.203 ";"2986";" 900 ";"2766";" 539 ";" 20 "
"Alto Horizonte";"2016";" 2.280 ";"3117";" 951 ";"2894";" 546 ";" 20 "
"Alto Horizonte";"2017";" 2.372 ";"3254";" 989 ";"3027";" 568 ";" 17 "
"Alto Horizonte";"2018";"2.446";"3397";"1.025";"3166";"577";"17"
"Alto Horizonte";"2019";"2.608";"3547";"1.117";"3310";"594";"26"
"Alto Horizonte";"2020";"2.779";"3702";"1.186";"3458";"604";"25"
"Alto Horizonte";"2021";"2.999";"3859";"1.274";"3611";"615";"50"
"Alto Horizonte";"2022";"3.148";"4022";"1.303";"3768";"652";"66"
"Alto Horizonte";"2023";"3.384";"4190";"1.389";"3930";"681";"66"
"Alto Horizonte";"2024";"3.618";"4365";"1.461";"4097";"720";"76"
"Alto Paraíso de Goiás";"2014";"2.008";"3540";"931";"3716";"444";"11"
"Alto Paraíso de Goiás";"2015";" 2.213 ";"3560";" 1.020 ";"3764";" 495 ";" 15 "
"Alto Paraíso de Goiás";"2016";" 2.351 ";"3573";" 1.071 ";"3803";" 531 ";" 16 "
"Alto Paraíso de Goiás";"2017";" 2.478 ";"3585";" 1.128 ";"3840";" 554 ";" 16 "
"Alto Paraíso de Goiás";"2018";"2.580";"3598";"1.152";"3879";"573";"16"
"Alto Paraíso de Goiás";"2019";"2.722";"3611";"1.214";"3918";"583";"18"
"Alto Paraíso de Goiás";"2020";"2.871";"3624";"1.278";"3956";"594";"19"
"Alto Paraíso de Goiás";"2021";"3.055";"3630";"1.358";"3987";"606";"19"
"Alto Paraíso de Goiás";"2022";"3.225";"3635";"1.398";"4017";"644";"21"
"Alto Paraíso de Goiás";"2023";"3.418";"3640";"1.464";"4047";"693";"21"
"Alto Paraíso de Goiás";"2024";"3.615";"3644";"1.542";"4075";"731";"23"
"Alvorada do Norte";"2014";"3.059";"4258";"1.440";"4110";"777";"14"
"Alvorada do Norte";"2015";" 3.361 ";"4275";" 1.613 ";"4128";" 824 ";" 16 "
"Alvorada do Norte";"2016";" 3.522 ";"4286";" 1.703 ";"4136";" 854 ";" 16 "
"Alvorada do Norte";"2017";" 3.708 ";"4294";" 1.804 ";"4143";" 877 ";" 17 "
"Alvorada do Norte";"2018";"3.855";"4302";"1.890";"4151";"883";"17"
"Alvorada do Norte";"2019";"4.053";"4308";"1.977";"4159";"902";"19"
"Alvorada do Norte";"2020";"4.266";"4312";"2.081";"4166";"917";"19"
"Alvorada do Norte";"2021";"4.445";"4312";"2.176";"4165";"944";"19"
"Alvorada do Norte";"2022";"4.568";"4309";"2.223";"4164";"955";"20"
"Alvorada do Norte";"2023";"4.732";"4305";"2.276";"4161";"995";"23"
"Alvorada do Norte";"2024";"4.996";"4298";"2.386";"4159";"1.027";"25"
"Amaralina";"2014";"529";"1883";"175";"1659";"218";"9"
"Amaralina";"2015";" 574 ";"1888";" 197 ";"1670";" 235 ";" 10 "
"Amaralina";"2016";" 612 ";"1888";" 214 ";"1673";" 244 ";" 11 "
"Amaralina";"2017";" 652 ";"1888";" 235 ";"1677";" 250 ";" 13 "
"Amaralina";"2018";"674";"1889";"243";"1683";"255";"14"
"Amaralina";"2019";"720";"1889";"271";"1689";"258";"14"
"Amaralina";"2020";"770";"1890";"291";"1697";"262";"14"
"Amaralina";"2021";"832";"1886";"321";"1697";"269";"15"
"Amaralina";"2022";"878";"1882";"333";"1699";"278";"16"
"Amaralina";"2023";"928";"1878";"347";"1701";"291";"16"
"Amaralina";"2024";"987";"1874";"360";"1703";"315";"16"
"Americano do Brasil";"2014";"2.335";"2990";"937";"2781";"699";"15"
"Americano do Brasil";"2015";" 2.521 ";"3008";" 1.043 ";"2811";" 736 ";" 21 "
"Americano do Brasil";"2016";" 2.603 ";"3025";" 1.110 ";"2824";" 762 ";" 23 "
"Americano do Brasil";"2017";" 2.757 ";"3041";" 1.187 ";"2839";" 789 ";" 24 "
"Americano do Brasil";"2018";"2.875";"3056";"1.222";"2858";"799";"26"
"Americano do Brasil";"2019";"3.012";"3069";"1.288";"2878";"816";"28"
"Americano do Brasil";"2020";"3.124";"3080";"1.327";"2900";"839";"30"
"Americano do Brasil";"2021";"3.195";"3091";"1.357";"2908";"853";"31"
"Americano do Brasil";"2022";"3.326";"3100";"1.402";"2916";"883";"34"
"Americano do Brasil";"2023";"3.431";"3107";"1.430";"2927";"907";"34"
"Americano do Brasil";"2024";"3.593";"3112";"1.498";"2939";"947";"34"
"Amorinópolis";"2014";"1.249";"1757";"454";"1730";"419";"10"
"Amorinópolis";"2015";" 1.417 ";"1735";" 517 ";"1717";" 499 ";" 10 "
"Amorinópolis";"2016";" 1.494 ";"1703";" 559 ";"1692";" 529 ";" 11 "
"Amorinópolis";"2017";" 1.551 ";"1674";" 592 ";"1669";" 532 ";" 11 "
"Amorinópolis";"2018";"1.566";"1646";"602";"1649";"538";"12"
"Amorinópolis";"2019";"1.613";"1619";"642";"1631";"528";"12"
"Amorinópolis";"2020";"1.667";"1594";"667";"1615";"523";"12"
"Amorinópolis";"2021";"1.741";"1562";"697";"1589";"530";"12"
"Amorinópolis";"2022";"1.790";"1531";"704";"1565";"532";"11"
"Amorinópolis";"2023";"1.836";"1501";"712";"1544";"544";"11"
"Amorinópolis";"2024";"1.906";"1473";"750";"1524";"551";"11"
"Anápolis";"2014";"242.038";"175526";"120.680";"183697";"50.014";"1.620"
"Anápolis";"2015";" 247.077 ";"177709";" 123.486 ";"185900";" 50.050 ";" 1.868 "
"Anápolis";"2016";" 251.574 ";"179857";" 126.045 ";"188115";" 50.819 ";" 1.856 "
"Anápolis";"2017";" 258.377 ";"181872";" 129.853 ";"190195";" 51.878 ";" 1.827 "
"Anápolis";"2018";"267.068";"183832";"134.695";"192214";"53.380";"1.774"
"Anápolis";"2019";"277.247";"185669";"139.906";"194103";"54.624";"1.758"
"Anápolis";"2020";"288.242";"187376";"145.037";"195857";"55.728";"1.812"
"Anápolis";"2021";"299.114";"189090";"149.296";"197660";"57.284";"1.789"
"Anápolis";"2022";"311.678";"190671";"152.978";"199327";"59.097";"1.818"
"Anápolis";"2023";"319.524";"192119";"157.233";"200856";"60.981";"1.832"
"Anápolis";"2024";"327.890";"193436";"160.817";"202247";"63.123";"1.848"
"Anhanguera";"2014";"467";"539";"272";"527";"99";"1"
"Anhanguera";"2015";" 486 ";"543";" 281 ";"532";" 106 ";" 1 "
"Anhanguera";"2016";" 501 ";"544";" 293 ";"534";" 108 ";" -   "
"Anhanguera";"2017";" 521 ";"546";" 305 ";"537";" 113 ";" -   "
"Anhanguera";"2018";"532";"548";"311";"540";"112";"2"
"Anhanguera";"2019";"557";"550";"325";"542";"121";"2"
"Anhanguera";"2020";"560";"553";"334";"545";"119";"2"
"Anhanguera";"2021";"586";"553";"350";"547";"122";"2"
"Anhanguera";"2022";"601";"554";"358";"548";"121";"3"
"Anhanguera";"2023";"619";"555";"371";"549";"124";"3"
"Anhanguera";"2024";"623";"555";"371";"550";"121";"3"
"Anicuns";"2014";"9.899";"10810";"4.661";"10179";"2.191";"113"
"Anicuns";"2015";" 10.644 ";"10856";" 5.038 ";"10218";" 2.323 ";" 115 "
"Anicuns";"2016";" 11.073 ";"10893";" 5.230 ";"10250";" 2.384 ";" 114 "
"Anicuns";"2017";" 11.380 ";"10922";" 5.387 ";"10275";" 2.416 ";" 106 "
"Anicuns";"2018";"11.670";"10948";"5.530";"10297";"2.438";"102"
"Anicuns";"2019";"12.029";"10967";"5.688";"10314";"2.489";"101"
"Anicuns";"2020";"12.523";"10979";"5.915";"10325";"2.544";"108"
"Anicuns";"2021";"13.052";"10984";"6.134";"10329";"2.612";"114"
"Anicuns";"2022";"13.463";"10982";"6.286";"10327";"2.681";"120"
"Anicuns";"2023";"14.037";"10974";"6.503";"10319";"2.795";"129"
"Anicuns";"2024";"14.794";"10959";"6.784";"10306";"2.935";"132"
"Aparecida de Goiânia";"2014";"242.285";"255167";"115.007";"262543";"70.708";"586"
"Aparecida de Goiânia";"2015";" 256.966 ";"261862";" 122.297 ";"269666";" 74.186 ";" 595 "
"Aparecida de Goiânia";"2016";" 266.504 ";"268507";" 126.904 ";"276755";" 76.831 ";" 613 "
"Aparecida de Goiânia";"2017";" 277.477 ";"275065";" 132.379 ";"283788";" 79.353 ";" 666 "
"Aparecida de Goiânia";"2018";"289.567";"281672";"138.502";"290895";"81.881";"709"
"Aparecida de Goiânia";"2019";"302.654";"288192";"145.351";"297948";"84.952";"732"
"Aparecida de Goiânia";"2020";"315.249";"294619";"150.929";"304940";"88.249";"712"
"Aparecida de Goiânia";"2021";"329.360";"301061";"156.093";"311956";"92.465";"750"
"Aparecida de Goiânia";"2022";"345.337";"307395";"161.811";"318895";"97.356";"751"
"Aparecida de Goiânia";"2023";"361.586";"313609";"167.786";"325744";"102.463";"799"
"Aparecida de Goiânia";"2024";"379.166";"319692";"173.767";"332495";"107.779";"837"
"Aparecida do Rio Doce";"2014";"761";"1267";"338";"1210";"194";"9"
"Aparecida do Rio Doce";"2015";" 923 ";"1275";" 420 ";"1214";" 218 ";" 10 "
"Aparecida do Rio Doce";"2016";" 1.095 ";"1270";" 517 ";"1212";" 239 ";" 12 "
"Aparecida do Rio Doce";"2017";" 1.183 ";"1267";" 564 ";"1210";" 244 ";" 12 "
"Aparecida do Rio Doce";"2018";"1.292";"1266";"616";"1209";"257";"11"
"Aparecida do Rio Doce";"2019";"1.356";"1268";"661";"1210";"255";"11"
"Aparecida do Rio Doce";"2020";"1.440";"1271";"693";"1211";"271";"12"
"Aparecida do Rio Doce";"2021";"1.504";"1263";"719";"1206";"272";"12"
"Aparecida do Rio Doce";"2022";"1.589";"1257";"743";"1202";"284";"12"
"Aparecida do Rio Doce";"2023";"1.683";"1253";"772";"1198";"292";"13"
"Aparecida do Rio Doce";"2024";"1.786";"1250";"814";"1195";"311";"14"
"Aporé";"2014";"1.436";"2123";"678";"1919";"268";"26"
"Aporé";"2015";" 1.643 ";"2147";" 778 ";"1941";" 272 ";" 28 "
"Aporé";"2016";" 1.746 ";"2161";" 825 ";"1960";" 283 ";" 27 "
"Aporé";"2017";" 1.788 ";"2175";" 842 ";"1978";" 290 ";" 32 "
"Aporé";"2018";"1.879";"2191";"894";"1996";"296";"32"
"Aporé";"2019";"1.954";"2207";"927";"2013";"311";"35"
"Aporé";"2020";"2.028";"2223";"958";"2030";"316";"35"
"Aporé";"2021";"2.123";"2231";"986";"2044";"333";"41"
"Aporé";"2022";"2.211";"2240";"1.008";"2057";"356";"46"
"Aporé";"2023";"2.270";"2248";"1.023";"2069";"366";"58"
"Aporé";"2024";"2.369";"2256";"1.063";"2080";"374";"58"
"Araçu";"2014";"1.538";"1870";"733";"1860";"415";"9"
"Araçu";"2015";" 1.719 ";"1854";" 816 ";"1849";" 453 ";" 12 "
"Araçu";"2016";" 1.805 ";"1832";" 877 ";"1828";" 467 ";" 13 "
"Araçu";"2017";" 1.880 ";"1810";" 913 ";"1808";" 484 ";" 12 "
"Araçu";"2018";"1.995";"1789";"962";"1791";"507";"14"
"Araçu";"2019";"2.096";"1768";"1.005";"1775";"515";"14"
"Araçu";"2020";"2.209";"1747";"1.059";"1760";"533";"14"
"Araçu";"2021";"2.293";"1723";"1.118";"1737";"544";"14"
"Araçu";"2022";"2.379";"1699";"1.149";"1716";"566";"13"
"Araçu";"2023";"2.440";"1675";"1.171";"1696";"591";"12"
"Araçu";"2024";"2.560";"1651";"1.222";"1677";"608";"12"
"Aragarças";"2014";"14.298";"9616";"6.182";"9527";"3.628";"26"
"Aragarças";"2015";" 15.518 ";"9676";" 6.838 ";"9586";" 3.768 ";" 30 "
"Aragarças";"2016";" 15.923 ";"9725";" 7.030 ";"9635";" 3.819 ";" 30 "
"Aragarças";"2017";" 16.139 ";"9768";" 7.090 ";"9677";" 3.882 ";" 32 "
"Aragarças";"2018";"16.071";"9809";"7.039";"9718";"3.872";"33"
"Aragarças";"2019";"15.970";"9844";"6.998";"9753";"3.883";"33"
"Aragarças";"2020";"16.036";"9875";"7.021";"9782";"3.885";"35"
"Aragarças";"2021";"16.129";"9897";"7.047";"9806";"3.909";"40"
"Aragarças";"2022";"16.291";"9913";"7.047";"9824";"3.950";"41"
"Aragarças";"2023";"16.557";"9924";"7.112";"9837";"3.983";"42"
"Aragarças";"2024";"17.178";"9929";"7.193";"9844";"4.071";"44"
"Aragoiânia";"2014";"3.497";"4707";"1.578";"4476";"1.126";"6"
"Aragoiânia";"2015";" 3.788 ";"4798";" 1.732 ";"4553";" 1.186 ";" 8 "
"Aragoiânia";"2016";" 3.969 ";"4889";" 1.844 ";"4628";" 1.208 ";" 9 "
"Aragoiânia";"2017";" 4.155 ";"4978";" 1.924 ";"4701";" 1.236 ";" 8 "
"Aragoiânia";"2018";"4.346";"5067";"2.033";"4774";"1.270";"10"
"Aragoiânia";"2019";"4.591";"5154";"2.152";"4845";"1.333";"12"
"Aragoiânia";"2020";"4.883";"5239";"2.297";"4915";"1.404";"13"
"Aragoiânia";"2021";"5.161";"5325";"2.421";"4984";"1.453";"15"
"Aragoiânia";"2022";"5.451";"5409";"2.569";"5051";"1.500";"16"
"Aragoiânia";"2023";"5.868";"5490";"2.730";"5116";"1.613";"19"
"Aragoiânia";"2024";"6.355";"5569";"2.925";"5178";"1.701";"19"
"Araguapaz";"2014";"2.609";"3884";"902";"3745";"920";"15"
"Araguapaz";"2015";" 2.871 ";"3874";" 1.044 ";"3752";" 960 ";" 18 "
"Araguapaz";"2016";" 3.047 ";"3857";" 1.131 ";"3750";" 983 ";" 18 "
"Araguapaz";"2017";" 3.244 ";"3838";" 1.232 ";"3747";" 1.004 ";" 19 "
"Araguapaz";"2018";"3.401";"3819";"1.299";"3745";"1.046";"19"
"Araguapaz";"2019";"3.557";"3799";"1.375";"3742";"1.068";"19"
"Araguapaz";"2020";"3.799";"3778";"1.490";"3739";"1.109";"21"
"Araguapaz";"2021";"4.050";"3752";"1.582";"3727";"1.137";"21"
"Araguapaz";"2022";"4.258";"3725";"1.632";"3716";"1.184";"24"
"Araguapaz";"2023";"4.450";"3696";"1.710";"3703";"1.224";"24"
"Araguapaz";"2024";"4.673";"3666";"1.775";"3691";"1.255";"23"
"Arenópolis";"2014";"886";"1581";"351";"1557";"279";"7"
"Arenópolis";"2015";" 1.027 ";"1554";" 430 ";"1542";" 300 ";" 8 "
"Arenópolis";"2016";" 1.098 ";"1522";" 456 ";"1521";" 314 ";" 9 "
"Arenópolis";"2017";" 1.116 ";"1491";" 462 ";"1501";" 312 ";" 10 "
"Arenópolis";"2018";"1.134";"1462";"465";"1483";"317";"9"
"Arenópolis";"2019";"1.183";"1434";"482";"1465";"329";"10"
"Arenópolis";"2020";"1.262";"1407";"514";"1449";"342";"11"
"Arenópolis";"2021";"1.312";"1377";"535";"1427";"346";"11"
"Arenópolis";"2022";"1.377";"1347";"551";"1406";"355";"10"
"Arenópolis";"2023";"1.406";"1318";"556";"1385";"353";"10"
"Arenópolis";"2024";"1.467";"1290";"559";"1366";"375";"12"
"Aruanã";"2014";"1.978";"4437";"617";"4085";"693";"18"
"Aruanã";"2015";" 2.197 ";"4556";" 716 ";"4206";" 727 ";" 19 "
"Aruanã";"2016";" 2.401 ";"4669";" 807 ";"4321";" 772 ";" 20 "
"Aruanã";"2017";" 2.542 ";"4783";" 894 ";"4437";" 793 ";" 20 "
"Aruanã";"2018";"2.648";"4900";"925";"4557";"820";"24"
"Aruanã";"2019";"2.811";"5019";"992";"4679";"849";"24"
"Aruanã";"2020";"2.989";"5139";"1.062";"4803";"876";"23"
"Aruanã";"2021";"3.176";"5255";"1.150";"4922";"901";"24"
"Aruanã";"2022";"3.411";"5371";"1.225";"5042";"915";"24"
"Aruanã";"2023";"3.766";"5488";"1.348";"5163";"988";"24"
"Aruanã";"2024";"4.156";"5606";"1.455";"5285";"1.144";"25"
"Aurilândia";"2014";"1.190";"1759";"572";"1751";"347";"3"
"Aurilândia";"2015";" 1.293 ";"1735";" 638 ";"1733";" 367 ";" 3 "
"Aurilândia";"2016";" 1.354 ";"1704";" 679 ";"1707";" 376 ";" 3 "
"Aurilândia";"2017";" 1.406 ";"1675";" 706 ";"1683";" 386 ";" 3 "
"Aurilândia";"2018";"1.467";"1647";"723";"1661";"398";"3"
"Aurilândia";"2019";"1.520";"1621";"742";"1639";"415";"3"
"Aurilândia";"2020";"1.579";"1597";"765";"1619";"421";"5"
"Aurilândia";"2021";"1.638";"1565";"779";"1592";"427";"6"
"Aurilândia";"2022";"1.698";"1534";"811";"1567";"430";"7"
"Aurilândia";"2023";"1.760";"1506";"819";"1543";"445";"8"
"Aurilândia";"2024";"1.849";"1478";"830";"1519";"454";"10"
"Avelinópolis";"2014";"996";"1248";"416";"1238";"279";"2"
"Avelinópolis";"2015";" 1.083 ";"1250";" 460 ";"1238";" 291 ";" 3 "
"Avelinópolis";"2016";" 1.170 ";"1243";" 523 ";"1235";" 308 ";" 3 "
"Avelinópolis";"2017";" 1.217 ";"1238";" 548 ";"1232";" 318 ";" 3 "
"Avelinópolis";"2018";"1.254";"1233";"564";"1229";"318";"3"
"Avelinópolis";"2019";"1.292";"1229";"599";"1226";"309";"3"
"Avelinópolis";"2020";"1.346";"1227";"619";"1223";"329";"3"
"Avelinópolis";"2021";"1.435";"1218";"666";"1217";"353";"4"
"Avelinópolis";"2022";"1.491";"1209";"688";"1211";"359";"3"
"Avelinópolis";"2023";"1.548";"1200";"712";"1204";"376";"3"
"Avelinópolis";"2024";"1.637";"1193";"740";"1198";"397";"4"
"Baliza";"2014";"334";"2337";"125";"1903";"86";"5"
"Baliza";"2015";" 390 ";"2407";" 158 ";"1962";" 96 ";" 5 "
"Baliza";"2016";" 414 ";"2475";" 162 ";"2014";" 105 ";" 7 "
"Baliza";"2017";" 428 ";"2543";" 169 ";"2069";" 105 ";" 8 "
"Baliza";"2018";"444";"2614";"183";"2126";"106";"8"
"Baliza";"2019";"445";"2686";"185";"2185";"108";"8"
"Baliza";"2020";"448";"2758";"186";"2247";"105";"9"
"Baliza";"2021";"466";"2830";"189";"2302";"109";"10"
"Baliza";"2022";"492";"2903";"185";"2360";"119";"10"
"Baliza";"2023";"503";"2976";"181";"2419";"125";"10"
"Baliza";"2024";"540";"3050";"193";"2480";"124";"11"
"Barro Alto";"2014";"3.440";"5158";"1.686";"4733";"613";"71"
"Barro Alto";"2015";" 3.852 ";"5307";" 1.874 ";"4851";" 660 ";" 69 "
"Barro Alto";"2016";" 4.047 ";"5456";" 1.943 ";"4967";" 685 ";" 83 "
"Barro Alto";"2017";" 4.324 ";"5605";" 2.073 ";"5082";" 715 ";" 84 "
"Barro Alto";"2018";"4.598";"5757";"2.170";"5199";"740";"89"
"Barro Alto";"2019";"5.021";"5909";"2.308";"5315";"776";"89"
"Barro Alto";"2020";"5.377";"6061";"2.471";"5431";"806";"93"
"Barro Alto";"2021";"5.817";"6213";"2.580";"5547";"844";"110"
"Barro Alto";"2022";"6.122";"6365";"2.670";"5662";"900";"122"
"Barro Alto";"2023";"6.526";"6517";"2.812";"5776";"958";"127"
"Barro Alto";"2024";"6.894";"6669";"2.967";"5889";"985";"151"
"Bela Vista de Goiás";"2014";"14.227";"13838";"5.657";"13178";"4.402";"45"
"Bela Vista de Goiás";"2015";" 15.268 ";"14090";" 6.146 ";"13434";" 4.614 ";" 50 "
